,master_ccl_id,ccl_name,ccle_primary_site,ccle_primary_hist,ccle_hist_subtype_1
90,143,CHP126,autonomic_ganglia,neuroblastoma,
91,144,CHP212,autonomic_ganglia,neuroblastoma,
286,475,IMR32,autonomic_ganglia,neuroblastoma,
327,528,KELLY,autonomic_ganglia,neuroblastoma,
358,571,KPNSI9S,autonomic_ganglia,neuroblastoma,
359,572,KPNYN,autonomic_ganglia,neuroblastoma,
429,678,MHHNB11,autonomic_ganglia,neuroblastoma,
455,720,NB1,autonomic_ganglia,neuroblastoma,
459,852,NH6,autonomic_ganglia,neuroblastoma,
570,1030,SIMA,autonomic_ganglia,neuroblastoma,
589,1051,SKNAS,autonomic_ganglia,neuroblastoma,
590,1052,SKNBE2,autonomic_ganglia,neuroblastoma,
591,1053,SKNDZ,autonomic_ganglia,neuroblastoma,
592,1055,SKNFI,autonomic_ganglia,neuroblastoma,
594,1058,SKNSH,autonomic_ganglia,neuroblastoma,
271,455,HUCCT1,biliary_tract,carcinoma,
274,458,HUH28,biliary_tract,carcinoma,
605,1082,SNU1079,biliary_tract,carcinoma,
608,1085,SNU1196,biliary_tract,carcinoma,
617,1095,SNU245,biliary_tract,carcinoma,
618,1097,SNU308,biliary_tract,carcinoma,
628,1109,SNU478,biliary_tract,carcinoma,
644,1126,SNU869,biliary_tract,carcinoma,
26,37,A673,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
63,108,CADOES1,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
75,120,CAL78,bone,chondrosarcoma,dedifferentiated
164,262,G292CLONEA141B1,bone,osteosarcoma,
239,383,HOS,bone,osteosarcoma,
251,424,HS822T,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
254,432,HS888T,bone,osteosarcoma,
425,673,MG63,bone,osteosarcoma,
428,677,MHHES1,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
529,963,RDES,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
553,1004,SAOS2,bone,osteosarcoma,
571,1032,SJSA1,bone,osteosarcoma,
574,1035,SKES1,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
593,1056,SKNMC,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
670,1154,SW1353,bone,chondrosarcoma,
687,1180,TC71,bone,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor,
717,1226,U2OS,bone,osteosarcoma,
36,53,AU565,breast,carcinoma,
55,90,BT20,breast,carcinoma,ductal_carcinoma
56,97,BT474,breast,carcinoma,ductal_carcinoma
57,99,BT549,breast,carcinoma,ductal_carcinoma
66,111,CAL120,breast,carcinoma,
68,113,CAL148,breast,carcinoma,ductal_carcinoma
72,117,CAL51,breast,carcinoma,
76,121,CAL851,breast,carcinoma,
80,125,CAMA1,breast,carcinoma,
138,226,DU4475,breast,carcinoma,ductal_carcinoma
146,236,EFM192A,breast,carcinoma,
182,295,HCC1143,breast,carcinoma,ductal_carcinoma
185,300,HCC1395,breast,carcinoma,ductal_carcinoma
186,301,HCC1419,breast,carcinoma,ductal_carcinoma
187,302,HCC1428,breast,carcinoma,
190,305,HCC1500,breast,carcinoma,ductal_carcinoma
191,306,HCC1569,breast,carcinoma,metaplastic_carcinoma
193,309,HCC1806,breast,carcinoma,ductal_carcinoma
195,313,HCC1937,breast,carcinoma,ductal_carcinoma
196,314,HCC1954,breast,carcinoma,ductal_carcinoma
197,315,HCC202,breast,carcinoma,ductal_carcinoma
199,318,HCC2218,breast,carcinoma,ductal_carcinoma
204,330,HCC38,breast,carcinoma,ductal_carcinoma
216,349,HDQP1,breast,carcinoma,ductal_carcinoma
235,376,HMC18,breast,carcinoma,
244,400,HS578T,breast,carcinoma,ductal_carcinoma
304,501,JIMT1,breast,carcinoma,ductal_carcinoma
357,569,KPL1,breast,carcinoma,ductal_carcinoma
408,646,MCF7,breast,carcinoma,
409,648,MDAMB157,breast,carcinoma,ductal_carcinoma
410,650,MDAMB231,breast,carcinoma,
411,651,MDAMB361,breast,carcinoma,
412,652,MDAMB415,breast,carcinoma,
414,657,MDAMB453,breast,carcinoma,
415,658,MDAMB468,breast,carcinoma,
572,1033,SKBR3,breast,carcinoma,
683,1175,T47D,breast,carcinoma,ductal_carcinoma
722,1234,UACC812,breast,carcinoma,ductal_carcinoma
746,1285,ZR751,breast,carcinoma,ductal_carcinoma
747,1286,ZR7530,breast,carcinoma,ductal_carcinoma
7,10,42MGBA,central_nervous_system,glioma,astrocytoma_Grade_IV
14,22,8MGBA,central_nervous_system,glioma,astrocytoma_Grade_IV
16,25,A172,central_nervous_system,glioma,astrocytoma_Grade_IV
31,47,AM38,central_nervous_system,glioma,astrocytoma_Grade_IV
41,59,BECKER,central_nervous_system,glioma,astrocytoma_Grade_IV
84,130,CAS1,central_nervous_system,glioma,astrocytoma_Grade_IV
85,131,CCFSTTG1,central_nervous_system,glioma,astrocytoma
119,193,D283MED,central_nervous_system,primitive_neuroectodermal_tumor_medulloblastoma,
121,202,DAOY,central_nervous_system,primitive_neuroectodermal_tumor_medulloblastoma,
124,205,DBTRG05MG,central_nervous_system,glioma,astrocytoma_Grade_IV
127,211,DKMG,central_nervous_system,glioma,astrocytoma_Grade_IV
169,268,GAMG,central_nervous_system,glioma,
170,269,GB1,central_nervous_system,glioma,astrocytoma_Grade_IV
173,274,GI1,central_nervous_system,glioma,gliosarcoma
174,280,GMS10,central_nervous_system,glioma,astrocytoma_Grade_IV
175,281,GOS3,central_nervous_system,glioma,astrocytoma
246,409,HS683,central_nervous_system,glioma,
316,514,KALS1,central_nervous_system,glioma,
328,530,KG1C,central_nervous_system,glioma,astrocytoma_Grade_IV
349,556,KNS42,central_nervous_system,glioma,
350,557,KNS60,central_nervous_system,glioma,astrocytoma_Grade_IV
352,559,KNS81,central_nervous_system,glioma,astrocytoma_Grade_IV
387,604,LN18,central_nervous_system,glioma,astrocytoma_Grade_IV
388,606,LN229,central_nervous_system,glioma,astrocytoma_Grade_IV
403,638,M059K,central_nervous_system,glioma,astrocytoma_Grade_IV
460,855,NMCG1,central_nervous_system,glioma,
481,899,ONS76,central_nervous_system,primitive_neuroectodermal_tumor_medulloblastoma,
562,1015,SF126,central_nervous_system,glioma,astrocytoma
564,1018,SF295,central_nervous_system,glioma,astrocytoma_Grade_IV
606,1083,SNU1105,central_nervous_system,glioma,astrocytoma_Grade_IV
614,1092,SNU201,central_nervous_system,glioma,astrocytoma_Grade_IV
626,1107,SNU466,central_nervous_system,glioma,astrocytoma_Grade_IV
629,1110,SNU489,central_nervous_system,glioma,astrocytoma_Grade_IV
635,1117,SNU626,central_nervous_system,glioma,astrocytoma_Grade_IV
639,1121,SNU738,central_nervous_system,glioma,oligodendroglioma
667,1151,SW1088,central_nervous_system,glioma,
675,1159,SW1783,central_nervous_system,glioma,astrocytoma_Grade_III
685,1177,T98G,central_nervous_system,glioma,astrocytoma_Grade_IV
704,1204,TM31,central_nervous_system,glioma,astrocytoma
714,1218,U118MG,central_nervous_system,glioma,astrocytoma
715,1223,U251MG,central_nervous_system,glioma,astrocytoma
718,1230,U87MG,central_nervous_system,glioma,astrocytoma
744,1282,YH13,central_nervous_system,glioma,astrocytoma_Grade_IV
745,1283,YKG1,central_nervous_system,glioma,astrocytoma_Grade_IV
34,50,AN3CA,endometrium,carcinoma,adenocarcinoma
104,163,COLO684,endometrium,carcinoma,adenocarcinoma
145,234,EFE184,endometrium,carcinoma,
153,243,EN,endometrium,carcinoma,
157,248,ESS1,endometrium,carcinoma,carcinosarcoma; malignant_mesodermal_mixed_tumor
217,350,HEC108,endometrium,carcinoma,adenocarcinoma
218,351,HEC151,endometrium,carcinoma,adenocarcinoma
219,352,HEC1A,endometrium,carcinoma,adenocarcinoma
220,353,HEC1B,endometrium,carcinoma,adenocarcinoma
221,354,HEC251,endometrium,carcinoma,adenocarcinoma
222,355,HEC265,endometrium,carcinoma,adenocarcinoma
223,356,HEC50B,endometrium,carcinoma,adenocarcinoma
224,357,HEC59,endometrium,carcinoma,adenocarcinoma
225,358,HEC6,endometrium,carcinoma,adenocarcinoma
288,479,ISHIKAWAHERAKLIO02ER,endometrium,carcinoma,adenocarcinoma
300,497,JHUEM1,endometrium,carcinoma,adenocarcinoma
301,498,JHUEM2,endometrium,carcinoma,adenocarcinoma
302,499,JHUEM3,endometrium,carcinoma,adenocarcinoma
303,500,JHUEM7,endometrium,carcinoma,adenocarcinoma
331,534,KLE,endometrium,carcinoma,adenocarcinoma
423,671,MFE296,endometrium,carcinoma,adenocarcinoma
424,672,MFE319,endometrium,carcinoma,adenocarcinoma
543,981,RL952,endometrium,carcinoma,mixed_adenosquamous_carcinoma
598,1074,SNGM,endometrium,carcinoma,adenocarcinoma
604,1081,SNU1077,endometrium,carcinoma,carcinosarcoma; malignant_mesodermal_mixed_tumor
637,1119,SNU685,endometrium,carcinoma,carcinosarcoma; malignant_mesodermal_mixed_tumor
1,1,697,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia
22,31,A3KAW,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma
24,34,A4FUK,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma
30,46,ALLSIL,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia
32,48,AML193,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
33,49,AMO1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma
38,56,BCP1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,B_cell_lymphoma
40,58,BDCM,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia
53,74,BL41,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Burkitt_lymphoma
54,75,BL70,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Burkitt_lymphoma
58,100,BV173,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase; chronic_myeloid_leukaemia
62,106,CA46,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Burkitt_lymphoma
92,145,CI1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,B_cell_lymphoma
96,151,CMK,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
97,154,CMLT1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase; chronic_myeloid_leukaemia
122,203,DAUDI,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Burkitt_lymphoma
123,204,DB,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma
125,206,DEL,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,
134,221,DND41,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia
135,222,DOHH2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma
140,228,EB1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Burkitt_lymphoma
